CensusTract,County,LILATracts_1And10
20091052306,Johnson,0
20091052405,Johnson,0
20091052410,Johnson,0
20091052411,Johnson,0
20091052414,Johnson,0
20091052415,Johnson,0
20091052416,Johnson,0
20091052417,Johnson,0
20091052418,Johnson,0
20091052419,Johnson,0
20091052421,Johnson,0
20091052502,Johnson,0
20091052504,Johnson,0
20091052601,Johnson,0
20091052603,Johnson,0
20091052604,Johnson,0
20091052606,Johnson,0
20091052607,Johnson,0
20091052700,Johnson,0
20091052801,Johnson,0
20091052802,Johnson,0
20091052803,Johnson,0
20091052904,Johnson,0
20091052905,Johnson,0
20091052906,Johnson,0
20091052907,Johnson,0
20091052908,Johnson,0
20091052910,Johnson,0
20091053002,Johnson,0
20091053004,Johnson,0
20091053005,Johnson,0
20091053006,Johnson,0
20091053007,Johnson,0
20091053008,Johnson,0
20091053009,Johnson,0
20091053010,Johnson,0
20091053011,Johnson,0
20091053101,Johnson,0
20091053102,Johnson,0
20091053105,Johnson,0
20091053108,Johnson,0
20091053109,Johnson,0
20091053110,Johnson,0
20091053201,Johnson,0
20091053202,Johnson,0
20091053203,Johnson,0
20091053301,Johnson,0
20091053302,Johnson,0
20091053403,Johnson,0
20091053406,Johnson,0
20091053409,Johnson,0
20091053410,Johnson,0
20091053411,Johnson,0
20091053413,Johnson,0
20091053414,Johnson,0
20091053415,Johnson,0
20091053417,Johnson,0
20091053418,Johnson,0
20091053419,Johnson,0
20091053421,Johnson,0
20091053422,Johnson,0
20091053423,Johnson,0
20091053424,Johnson,0
20091053502,Johnson,0
20091053505,Johnson,0
20091053506,Johnson,0
20091053507,Johnson,0
20091053508,Johnson,0
20091053509,Johnson,0
20091053510,Johnson,0
20091053555,Johnson,1
20091053556,Johnson,1
20091053557,Johnson,1
20091053601,Johnson,0
20091053602,Johnson,0
20091053701,Johnson,0
20091053703,Johnson,0
20091053705,Johnson,0
20091053707,Johnson,0
20091053709,Johnson,0
20091053711,Johnson,0
20091053712,Johnson,0
20091053801,Johnson,0
20091053803,Johnson,0
20091053804,Johnson,0
20091980001,Johnson,0
20091980002,Johnson,0
20091980003,Johnson,0
20093959100,Kearny,0
20095961100,Kingman,0
20095961200,Kingman,0
20095961300,Kingman,0
20097969100,Kiowa,1
20099950100,Labette,0
20099950200,Labette,0
20099950300,Labette,1
20099950400,Labette,1
20099950500,Labette,0
20099950600,Labette,0
20099950700,Labette,0
20099950800,Labette,0
20101956600,Lane,0
20103070100,Leavenworth,1
20103070200,Leavenworth,1
20103070300,Leavenworth,1
20103070400,Leavenworth,1
20103070500,Leavenworth,0
20103070700,Leavenworth,0
20103070900,Leavenworth,0
20103071000,Leavenworth,0
20103071101,Leavenworth,0
20103071102,Leavenworth,0
20103071202,Leavenworth,0
20103071203,Leavenworth,0
20103071400,Leavenworth,0
20103071600,Leavenworth,0
20103071800,Leavenworth,0
20103981900,Leavenworth,0
20105086100,Lincoln,0
20107955100,Linn,0
20107955200,Linn,0
20109954600,Logan,0
20111000100,Lyon,0
20111000200,Lyon,0
20111000300,Lyon,0
20111000400,Lyon,0
20111000500,Lyon,1
20111000600,Lyon,0
20111000700,Lyon,0
20111000800,Lyon,0
20113788100,McPherson,0
20113788200,McPherson,0
20113788300,McPherson,0
20113788400,McPherson,0
20113788500,McPherson,0
20113788600,McPherson,0
20113788700,McPherson,0
20115489500,Marion,1
20115489600,Marion,0
20115489700,Marion,0
20115489800,Marion,0
20117040701,Marshall,0
20117060510,Marshall,0
20117070182,Marshall,0
20117090186,Marshall,0
20119966600,Meade,0
20119966700,Meade,0
20121100100,Miami,0
20121100200,Miami,0
20121100300,Miami,0
20121100400,Miami,0
20121100500,Miami,0
20121100601,Miami,0
20121100602,Miami,0
20121100700,Miami,1
20123176600,Mitchell,0
20123176700,Mitchell,0
20125950100,Montgomery,0
20125950200,Montgomery,0
20125950300,Montgomery,0
20125950400,Montgomery,0
20125950500,Montgomery,0
20125950600,Montgomery,0
20125950700,Montgomery,0
20125950800,Montgomery,0
20125950900,Montgomery,0
20125951000,Montgomery,0
20125951100,Montgomery,0
20125951200,Montgomery,0
20125951300,Montgomery,0
20127963600,Morris,0
20127963700,Morris,0
20129964600,Morton,0
20131480100,Nemaha,0
20131480200,Nemaha,0
20131480300,Nemaha,0
20133951600,Neosho,1
20133951700,Neosho,0
20133951800,Neosho,0
20133951900,Neosho,0
20133952000,Neosho,0
20135956100,Ness,0
20135956200,Ness,0
20137951700,Norton,0
20139010100,Osage,0
20139010200,Osage,0
20139010300,Osage,0
20139010400,Osage,0
20139010500,Osage,0
20141474100,Osborne,1
20143085600,Ottawa,0
20143085700,Ottawa,0
20145970200,Pawnee,1
20145970300,Pawnee,0
20147475100,Phillips,0
20147475200,Phillips,0
20147475300,Phillips,0
20149000100,Pottawatomie,0
20149000200,Pottawatomie,0
20149000300,Pottawatomie,0
20149000400,Pottawatomie,0
20151968600,Pratt,0
20151968700,Pratt,1
20151968800,Pratt,0
20153950600,Rawlins,0
20155000100,Reno,0
20155000200,Reno,0
20155000300,Reno,0
20155000400,Reno,1
20155000500,Reno,0
20155000600,Reno,0
20155000700,Reno,0
20155000800,Reno,1
20155001000,Reno,1
20155001100,Reno,0
20155001200,Reno,0
20155001300,Reno,0
20155001400,Reno,0
20155001500,Reno,0
20155001600,Reno,0
20155001700,Reno,1
20155001800,Reno,0
20157978100,Republic,1
20157978200,Republic,0
20157978300,Republic,0
20159967100,Rice,0
20159967200,Rice,0
20159967300,Rice,0
20161000200,Riley,0
20161000303,Riley,1
20161000304,Riley,1
20161000500,Riley,1
20161000600,Riley,0
20161000700,Riley,1
20161000801,Riley,0
20161000802,Riley,0
20161000900,Riley,0
20161001002,Riley,1
20161001100,Riley,1
20161001301,Riley,0
