County,"Crime Index Rate/1,000 (County Total)"
Allen County,28.1
Anderson County,15.9
Atchison County,17.9
Barber County,9.1
Barton County,23.8
Bourbon County,28.3
Brown County,16.6
Butler County,19.2
Chase County,0
Chautauqua County,13.0
Cherokee County,24.4
Cheyenne County,12.5
Clark County,8.1
Clay County,23.2
Cloud County,20.8
Coffey County,10.9
Commanche County,12.6
Cowley County,30.8
Crawford County,43.4
Decatur County,8.9
Dickinson County,13.3
Doniphan County,8.6
Douglas County,26.7
Edwards County,20.6
Elk County,1.7
Ellis County,19.1
Ellsworth County,17.4
Finney County,36.4
Ford County,27.5
Franklin County,10.4
Geary County,25.2
Gove County,4.2
Graham County,6.5
Grant County,9.9
Gray County,10.2
Greeley County,4.1
Greenwood County,14.8
Hamilton County,11.9
Harper County,20.5
Harvey County,21.2
Haskell County,6.6
Hodgeman County,4.5
Jackson County,13.3
Jefferson County,17.2
Jewell County,3.9
Johnson County,20.5
Kearny County,21.0
Kingman County,19.4
Kiowa County,13.0
Labette County,32.3
Lane County,12.6
Leavenworth County,23.9
Lincoln County,2.7
Linn County,14.0
Logan County,14.1
Lyon County,18.6
Mc Pherson County,17.5
Marion County,15.4
Marshall County,9.4
Meade County,3.3
Miami County,13.7
Mitchell County,11.8
Montgomery County,39.8
Morris County,12.6
Morton County,20.7
Nemaha County,11.9
Neosho County,12.4
Ness County,13.3
Norton County,15.6
Osage County,12.8
Osborne County,11.6
Ottawa County,7.3
Pawnee County,28.4
Phillips County,1.9
Pottawatomie County,9.6
Pratt  County,14.1
Rawlins County,5.5
Reno County,12.0
Republic County,15.5
Rice County,12.6
Riley County,19.7
Rooks County,7.8
Rush County,30.0
Russell County,19.2
Saline County,37.5
Scott County,7.1
Sedgwick County,52.9
Seward County,1.1
Shawnee County,46.4
Sheridan County,1.2
Sherman County,19.3
Smith County,2.8
Stafford County,6.9
Stanton County,5.1
Stevens County,11.5
Sumner County,23.1
Thomas County,17.9
Trego County,15.5
Wabaunsee County,19.0
Wallace County,0.0
Washington County,3.0
Wichita County,1.9
Wichita County,7.9
Woodson County,25.0
Wyandotte County,59.7
