County,CTY_SUB,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
Hamilton County,Richland township,55,40,28,27,30,30
Hamilton County,Syracuse township,1951,1929,1911,2165,2130,2084
Harper County,Anthony city,2653,2661,2516,2440,2269,2108
Harper County,Anthony Township,313,,,,,
Harper County,Banner Township,180,,,,,
Harper County,Berlin Township,105,,,,,
Harper County,Blaine Township,134,,,,,
Harper County,Chicaskia Township,153,,,,,
Harper County,Eagle Township,141,,,,,
Harper County,Empire Township,67,,,,,
Harper County,Garden Township,92,,,,,
Harper County,Grant Township,142,,,,,
Harper County,Greene Township,88,,,,,
Harper County,Harper city,1665,1823,1735,1567,1473,1313
Harper County,Harper Township,139,,,,,
Harper County,Lake Township,91,,,,,
Harper County,Lawn Township,97,,,,,
Harper County,Liberty Township,89,,,,,
Harper County,Odell Township,226,,,,,
Harper County,Pilot Knob Township,194,,,,,
Harper County,Ruella Township,739,,,,,
Harper County,Silver Creek Township,136,,,,,
Harper County,Spring Township,134,,,,,
Harper County,Stohrville Township,293,,,,,
Harper County,Township 1,,1206,1125,1000,963,834
Harper County,Township 2,,270,189,144,115,102
Harper County,Township 3,,554,414,394,300,273
Harper County,Township 4,,318,268,232,220,178
Harper County,Township 5,,551,499,463,412,406
Harper County,Township 6,,395,378,296,282,271
Harvey County,Alta township,267,242,243,221,236,221
Harvey County,Burrton township,1035,1211,1149,1143,1080,1057
Harvey County,Darlington township,409,527,471,601,575,586
Harvey County,Emma township,2433,3618,3612,4181,4267,4038
Harvey County,Garden township,303,296,301,294,280,300
Harvey County,Halstead city,1716,1994,2015,1873,2085,2179
Harvey County,Halstead township,404,378,390,353,365,392
Harvey County,Highland township,342,386,408,415,388,384
Harvey County,Lake township,233,219,191,173,158,170
Harvey County,Lakin township,306,346,327,357,331,358
Harvey County,Macon township,456,632,819,1056,531,498
Harvey County,Newton city,15439,16332,16700,17190,19132,18602
Harvey County,Newton township,1499,1708,1694,1950,2130,2207
Harvey County,Pleasant township,258,323,389,439,400,457
Harvey County,Richland township,244,211,200,360,367,358
Harvey County,Sedgwick township,1498,1682,1701,1711,1833,1748
Harvey County,Walton township,394,426,418,552,526,469
Haskell County,Dudley township,1579,1541,1522,1814,1683,1435
Haskell County,Haskell township,1619,1721,1825,1971,2094,1880
Haskell County,Lockport township,474,552,539,522,479,465
Hodgeman County,Benton township,50,47,42,48,36,27
Hodgeman County,Center township,1208,1098,1053,1121,1085,963
Hodgeman County,Hallet township,76,69,41,62,58,45
Hodgeman County,Marena township,568,500,542,432,389,384
Hodgeman County,North Roscoe township,115,76,73,51,48,31
Hodgeman County,Sawlog township,170,124,100,93,91,61
Hodgeman County,South Roscoe township,124,99,107,76,62,50
Hodgeman County,Sterling township,230,163,153,144,101,99
Hodgeman County,Valley township,121,93,66,58,46,63
Jackson County,Adrian township,166,125,114,150,176,188
Jackson County,Banner township,264,329,312,300,328,327
Jackson County,Cedar township,828,1164,1132,1254,1402,1392
Jackson County,Douglas township,1243,1711,1812,2135,2314,2146
Jackson County,Franklin township,472,600,634,776,1022,903
Jackson County,Garfield township,619,600,604,624,640,564
Jackson County,Grant township,178,211,183,212,170,186
Jackson County,Holton city,3063,3132,3196,3353,3329,3401
Jackson County,Jefferson township,467,517,466,494,513,528
Jackson County,Liberty township,421,416,410,513,510,539
Jackson County,Lincoln township,528,756,892,1046,1221,1313
Jackson County,Netawaka township,413,474,371,361,330,324
Jackson County,Soldier township,479,493,395,403,404,344
Jackson County,Straight Creek township,236,193,181,158,185,202
Jackson County,Washington township,459,453,443,516,582,556
Jackson County,Whiting township,506,470,380,362,336,319
Jefferson County,Delaware township,1889,1981,2000,2034,1939,1802
Jefferson County,Fairview township,149,669,995,1510,1699,1622
Jefferson County,Jefferson No. 10 township,,,1191,,,
Jefferson County,Jefferson township,1045,1241,,1240,1160,1090
Jefferson County,Kaw township,1013,1301,1356,1409,1461,1390
Jefferson County,Kentucky township,1129,1453,1443,1576,1746,1557
Jefferson County,Norton township,1121,1016,934,955,931,859
Jefferson County,Oskaloosa township,1572,1776,1832,2142,2169,2167
Jefferson County,Ozawkie township,430,950,1128,1408,1637,1628
Jefferson County,Rock Creek township,1558,2234,2299,2718,2890,2801
Jefferson County,Rural township,476,588,588,804,761,776
Jefferson County,Sarcoxie township,456,644,755,958,999,986
Jefferson County,Union township,1107,1354,1384,1672,1734,1690
Jewell County,Allen township,77,68,58,43,24,13
Jewell County,Athens township,141,105,91,74,50,50
Jewell County,Browns Creek township,90,71,74,64,50,57
Jewell County,Buffalo township,745,723,652,574,507,458
Jewell County,Burr Oak township,568,473,349,338,226,197
Jewell County,Calvin township,78,73,57,65,48,36
Jewell County,Center township,1477,1366,1173,1100,975,956
Jewell County,Erving township,121,86,67,60,38,37
Jewell County,Esbon township,357,358,231,222,155,141
Jewell County,Grant township,345,280,223,220,177,159
Jewell County,Harrison township,85,71,60,52,33,46
Jewell County,Highland township,98,67,66,49,39,35
Jewell County,Holmwood township,96,71,67,49,44,42
Jewell County,Ionia township,188,153,106,100,81,67
Jewell County,Jackson township,207,191,154,123,97,110
Jewell County,Limestone township,131,103,87,49,49,37
Jewell County,Montana township,147,118,96,93,73,64
Jewell County,Odessa township,88,74,44,34,21,16
Jewell County,Prairie township,291,250,190,172,121,139
Jewell County,Richland township,72,39,42,36,33,32
Jewell County,Sinclair township,148,111,78,67,60,59
Jewell County,Vicksburg township,95,60,42,28,27,21
Jewell County,Walnut township,178,113,86,80,54,56
Jewell County,Washington township,159,115,76,50,55,52
Jewell County,White Mound township,117,102,82,49,40,52
Johnson County,Aubry township,1246,2989,4294,5440,4204,4650
Johnson County,Bonner Springs city,,,3,1,0,0
Johnson County,Countryside city,403,346,312,295,,
Johnson County,De Soto city,1839,2061,2291,4561,5720,6118
Johnson County,Edgerton city,513,1214,1244,1440,1671,1748
Johnson County,Fairway city,5133,4619,4173,3952,3882,4170
Johnson County,Gardner city,1839,2392,3191,9396,19123,23287
Johnson County,Gardner township,1852,2595,2888,2143,2905,2593
Johnson County,Lake Quivira city,,1029,943,883,866,961
Johnson County,Leawood city,10349,13360,19693,27656,31867,33902
Johnson County,Lenexa city,5242,18639,34034,40238,48190,57434
Johnson County,Lexington township,2854,1978,1876,1315,1312,1497
Johnson County,McCamish township,559,922,857,878,996,980
Johnson County,Merriam city,10851,10794,11821,11008,11003,11098
Johnson County,Mission city,8376,8643,9504,9727,9323,9954
Johnson County,Mission Hills city,4177,3904,3446,3593,3498,3594
Johnson County,Mission Woods city,242,213,182,165,178,203
Johnson County,Monticello township,1526,2813,134,0,,
Johnson County,Olathe city,17917,37258,63352,92962,125872,141290
Johnson County,Olathe township,965,1564,1931,1187,865,894
Johnson County,Overland Park city,76623,81784,111790,149080,173372,197238
Johnson County,Oxford township,961,2491,1925,2020,1959,2027
Johnson County,Prairie Village city,28138,24657,23186,22072,21447,22957
Johnson County,Roeland Park city,9974,7962,7706,6817,6731,6871
Johnson County,Shawnee city,20482,29653,37993,47996,62209,67311
Johnson County,Shawnee township,1174,620,106,0,,
Johnson County,Spring Hill city,1186,1963,2084,2291,3100,4932
Johnson County,Spring Hill township,498,1586,1940,2059,2021,2004
Johnson County,Westwood city,2329,1783,1772,1533,1506,1750
Johnson County,Westwood Hills city,414,437,383,378,359,400
Kearny County,Deerfield township,639,713,954,1104,879,847
Kearny County,East Hibbard township,155,152,123,131,108,68
Kearny County,Hartland township,133,126,123,128,99,143
Kearny County,Kendall township,106,109,133,157,103,109
Kearny County,Lakin township,1781,2078,2392,2587,2451,2491
Kearny County,Southside township,137,190,233,359,264,261
Kearny County,West Hibbard township,96,67,69,65,73,64
Kingman County,Allen township,126,114,123,109,84,98
Kingman County,Belmont township,135,134,105,92,49,57
Kingman County,Bennett township,576,647,617,705,633,623
Kingman County,Canton township,172,111,88,118,109,84
Kingman County,Chikaskia township,171,168,169,140,127,100
Kingman County,Dale township,258,217,197,203,166,135
Kingman County,Dresden township,454,402,359,385,309,308
Kingman County,Eagle township,162,159,125,154,125,112
Kingman County,Eureka township,174,147,138,123,98,88
Kingman County,Evan township,264,425,441,516,542,476
Kingman County,Galesburg township,250,259,205,254,218,237
Kingman County,Hoosier township,168,185,170,162,149,152
Kingman County,Kingman city,3622,3563,3196,3387,3177,3105
Kingman County,Kingman township,241,184,164,124,115,99
Kingman County,Liberty township,211,220,220,178,132,124
Kingman County,Ninnescah township,224,258,256,313,273,284
Kingman County,Peters township,286,229,174,201,123,111
Kingman County,Richland township,113,139,94,100,107,79
Kingman County,Rochester township,274,248,200,210,168,137
Kingman County,Rural township,317,374,377,359,334,316
Kingman County,Union township,124,123,98,88,76,72
Kingman County,Valley township,145,130,127,102,100,87
Kingman County,Vinita township,222,208,190,249,253,223
Kingman County,White township,197,316,459,401,391,363
Kiowa County,Brenham Township,98,,,,,
Kiowa County,Butler Township,36,,,,,
Kiowa County,Center Township,2003,,,,,
Kiowa County,East Kiowa unorg.,,579,535,,,
Kiowa County,Garfield Township,73,,,,,
Kiowa County,Glick Township,73,,,,,
Kiowa County,Greensburg city,,1885,1792,,,
Kiowa County,Haviland city,,770,624,,,
Kiowa County,Highland Township,51,,,,,
Kiowa County,Kiowa Rural township,,,,3278,2553,2460
Kiowa County,Kiowa Township,42,,,,,
Kiowa County,Lincoln Township,39,,,,,
Kiowa County,Martin Township,462,,,,,
Kiowa County,Mullinville city,,339,289,,,
Kiowa County,Reeder Township,96,,,,,
Kiowa County,Union Township,29,,,,,
Kiowa County,Ursula Township,185,,,,,
Kiowa County,Valley Township,67,,,,,
Kiowa County,Wellsford Township,804,,,,,
Kiowa County,West Kiowa unorg.,,473,420,,,
Kiowa County,Westland Township,30,,,,,
Labette County,Canada township,320,281,253,217,194,205
Labette County,Chetopa city,1596,1751,1357,1281,1125,929
Labette County,Elm Grove township,825,947,817,798,823,682
Labette County,Fairview township,285,281,234,239,237,284
Labette County,Hackberry township,455,466,385,403,392,402
Labette County,Howard township,395,388,354,357,346,347
Labette County,Labette township,311,323,384,373,394,366
Labette County,Liberty township,387,485,409,395,453,471
Labette County,Montana township,212,240,233,179,164,150
Labette County,Mound Valley township,912,862,807,806,835,720
Labette County,Mount Pleasant township,1163,1342,1336,1351,1335,1268
Labette County,Neosho township,195,199,213,222,182,160
Labette County,North township,673,618,638,612,601,591
Labette County,Osage township,646,689,675,703,848,968
Labette County,Oswego city,2200,2218,1870,2046,1829,1668
Labette County,Oswego township,306,326,375,310,354,330
Labette County,Parsons city,13015,12898,11924,11514,10500,9600
Labette County,Richland township,437,372,393,303,287,332
Labette County,Walton township,1442,996,1036,726,708,711
Lane County,Alamota township,140,102,75,108,91,80
Lane County,Blaine township,129,138,124,,,
Lane County,Cheyenne township,359,333,352,336,314,269
Lane County,Cleveland township,52,45,39,,,
Lane County,Dighton township,1699,1577,1565,1573,1268,1144
Lane County,Spring Creek township,104,95,62,,,
Lane County,Sutton Township,19,,,,,
Lane County,White Rock township,59,46,50,26,18,22
Lane County,Wilson township,146,136,108,112,59,59
Leavenworth County,Alexandria township,626,629,655,859,882,871
Leavenworth County,Bonner Springs city,,,,,6,6
Leavenworth County,De Soto city,,,,,,0
Leavenworth County,Delaware township,6357,6031,1056,1361,1019,1061
Leavenworth County,Easton township,1020,1178,1290,1245,1131,1071
Leavenworth County,Fairmount township,1910,3121,3909,6266,8788,11215
Leavenworth County,High Prairie township,1002,1312,1470,1768,2002,2014
Leavenworth County,Kickapoo township,11538,1394,1511,1760,1770,1763
Leavenworth County,Lansing city,,,7120,9199,11265,11239
Leavenworth County,Leavenworth city,25147,33656,38495,35420,35251,37351
Leavenworth County,Reno township,724,764,944,1143,1398,1419
Leavenworth County,Sherman township,1208,1772,2036,2367,2635,2792
Leavenworth County,Stranger township,1011,1438,1828,2451,4363,5081
Leavenworth County,Tonganoxie township,2797,3514,4057,4852,5717,5998
Lincoln County,Battle Creek township,72,70,57,51,35,34
Lincoln County,Beaver township,470,505,437,454,425,356
Lincoln County,Cedron township,138,67,49,47,35,41
Lincoln County,Colorado township,345,290,275,340,289,234
Lincoln County,Elkhorn township,1213,1123,997,927,929,871
Lincoln County,Franklin township,119,105,99,80,98,70
Lincoln County,Golden Belt township,90,78,79,67,40,67
Lincoln County,Grant township,126,95,79,91,71,55
Lincoln County,Hanover township,62,50,37,43,41,57
Lincoln County,Highland township,76,59,50,65,61,60
Lincoln County,Indiana township,262,263,208,206,171,121
Lincoln County,Logan township,74,70,59,67,68,50
Lincoln County,Madison township,127,107,114,96,96,81
Lincoln County,Marion township,127,123,112,103,100,113
Lincoln County,Orange township,109,96,105,68,68,47
Lincoln County,Pleasant township,565,549,467,482,413,419
Lincoln County,Salt Creek township,123,99,76,61,63,47
Lincoln County,Scott township,249,205,169,158,104,102
Lincoln County,Valley township,88,67,74,69,44,43
Lincoln County,Vesper township,147,124,110,103,90,71
Linn County,Blue Mound township,628,584,484,500,483,432
Linn County,Centerville township,514,448,381,389,404,483
Linn County,Liberty township,780,813,830,908,968,921
Linn County,Lincoln township,1349,1491,1607,2251,2528,2525
Linn County,Mound City township,1023,1104,1194,1421,1281,1327
Linn County,Paris township,398,425,450,494,567,503
Linn County,Potosi township,1810,1940,1886,2080,1840,1876
Linn County,Scott township,362,464,549,641,733,796
Linn County,Sheridan township,492,552,535,560,527,450
Linn County,Stanton township,198,176,174,169,178,148
Linn County,Valley township,216,237,164,157,147,130
Logan County,Augustine township,52,28,32,26,22,15
Logan County,Elkader township,49,36,24,15,8,15
Logan County,Lees township,50,37,37,17,5,13
Logan County,Logansport township,11,12,5,14,7,6
Logan County,McAllaster township,47,40,31,29,25,25
Logan County,Monument township,233,184,159,144,141,127
Logan County,Oakley township,2649,2558,2285,2343,2185,2173
Logan County,Paxton township,43,33,43,24,28,33
Logan County,Russell Springs township,147,112,88,71,50,58
Logan County,Western township,58,58,49,44,43,43
Logan County,Winona township,475,380,328,319,242,254
Lyon County,Agnes City township,443,507,492,468,430,400
Lyon County,Americus township,918,1591,1491,1522,1503,1373
Lyon County,Center township,1137,1135,1156,1201,1198,1094
Lyon County,Elmendaro township,1027,1035,1006,949,788,741
Lyon County,Emporia city,23327,25287,25512,26760,24916,24139
Lyon County,Emporia township,1583,1244,1293,1167,907,911
Lyon County,Fremont township,677,988,905,842,903,800
Lyon County,Ivy township,264,275,253,304,261,270
Lyon County,Jackson township,862,1013,865,995,979,993
Lyon County,Pike township,972,1212,912,899,1034,784
Lyon County,Reading township,509,499,553,547,487,443
Lyon County,Waterloo township,352,322,294,281,284,231
McPherson County,Battle Hill township,119,120,106,91,104,108
McPherson County,Bonaville township,54,49,68,66,74,82
McPherson County,Canton township,1144,1187,1050,1090,989,976
McPherson County,Castle township,288,250,231,225,202,162
McPherson County,Delmore township,108,131,145,138,169,194
McPherson County,Empire township,864,1079,1151,1178,1345,1253
McPherson County,Groveland township,260,239,209,234,206,170
McPherson County,Gypsum Creek township,262,223,189,215,188,148
McPherson County,Harper township,156,167,147,137,138,132
McPherson County,Hayes township,285,287,270,287,277,301
McPherson County,Jackson township,259,290,173,198,180,174
McPherson County,King City township,365,404,448,544,477,506
McPherson County,Lindsborg city,2764,3155,3076,3321,3458,3776
McPherson County,Little Valley township,411,472,451,475,409,391
McPherson County,Lone Tree township,450,422,457,486,475,467
McPherson County,Marquette township,775,877,760,776,808,733
McPherson County,McPherson city,10851,11753,12422,13770,13155,14082
McPherson County,McPherson township,433,607,697,618,536,530
McPherson County,Meridian township,379,346,315,341,329,370
McPherson County,Mound township,1713,1888,1992,2104,2301,2326
McPherson County,New Gottland township,246,269,293,354,384,448
McPherson County,Smoky Hill township,265,297,244,297,311,316
McPherson County,South Sharps Creek township,116,124,100,112,111,116
McPherson County,Spring Valley township,411,437,390,373,335,316
McPherson County,Superior township,1299,1318,1412,1640,1740,1681
McPherson County,Turkey Creek township,307,288,273,294,285,275
McPherson County,Union township,194,176,199,190,194,190
Marion County,Blaine township,263,214,211,212,185,187
Marion County,Catlin township,227,230,194,180,187,175
Marion County,Centre township,285,421,494,535,479,469
Marion County,Clark township,247,217,177,149,147,144
Marion County,Clear Creek township,648,668,562,592,548,450
Marion County,Colfax township,313,273,237,218,291,172
Marion County,Doyle township,96,95,70,75,60,35
Marion County,Durham Park township,325,282,258,230,244,213
Marion County,East Branch township,196,202,198,188,178,199
Marion County,Fairplay township,241,162,122,121,107,93
Marion County,Florence city,716,729,636,671,465,394
Marion County,Gale township,196,243,239,220,219,239
Marion County,Grant township,169,159,136,128,131,135
Marion County,Hillsboro city,2730,2717,2704,2854,2993,2732
Marion County,Lehigh township,351,334,311,370,329,311
Marion County,Liberty township,356,297,305,327,320,345
Marion County,Logan township,178,147,117,127,104,114
Marion County,Lost Springs township,316,316,241,201,197,150
Marion County,Marion city,2052,1951,1906,2110,1927,1922
Marion County,Menno township,326,297,307,317,330,304
Marion County,Milton township,382,339,325,348,310,323
Marion County,Moore township,114,94,69,65,73,82
Marion County,Peabody township,1612,1671,1535,1544,1382,1117
Marion County,Risley township,294,233,227,241,207,225
Marion County,Summit township,133,104,90,82,80,72
Marion County,West Branch township,866,869,973,1024,966,1001
Marion County,Wilson township,303,258,244,232,201,220
Marshall County,Balderson township,202,154,120,106,82,91
Marshall County,Bigelow township,94,113,93,66,37,59
Marshall County,Blue Rapids City township,1257,1389,1233,1201,1116,1017
Marshall County,Blue Rapids township,145,113,93,78,59,89
Marshall County,Center township,191,164,174,151,128,130
Marshall County,Clear Fork township,96,52,49,54,45,42
Marshall County,Cleveland township,137,117,98,91,77,68
Marshall County,Cottage Hill township,187,166,138,143,132,131
Marshall County,Elm Creek township,219,229,204,178,180,150
Marshall County,Franklin township,303,332,362,337,316,273
Marshall County,Guittard township,499,505,458,454,373,372
Marshall County,Herkimer township,347,318,270,234,223,191
Marshall County,Lincoln township,239,181,140,130,121,145
Marshall County,Logan township,416,357,347,335,272,251
Marshall County,Marysville city,3588,3670,3359,3271,3294,3447
Marshall County,Marysville township,473,524,541,383,233,270
Marshall County,Murray township,755,737,669,640,614,600
Marshall County,Noble township,422,302,276,217,195,157
Marshall County,Oketo township,377,316,318,251,234,221
Marshall County,Richland township,342,247,226,206,154,159
Marshall County,Rock township,185,151,119,123,137,159
Marshall County,St. Bridget township,304,252,206,232,173,132
Marshall County,Vermillion township,1174,1218,1101,1012,879,904
Marshall County,Walnut township,206,183,177,144,118,101
Marshall County,Waterville township,787,842,801,797,805,782
Marshall County,Wells township,194,155,133,131,120,97
Meade County,Cimarron township,83,89,98,93,75,67
Meade County,Crooked Creek township,104,79,83,92,73,48
Meade County,Fowler township,843,794,737,749,746,651
Meade County,Logan township,161,149,100,100,87,102
Meade County,Meade Center township,2229,2058,1822,1968,2001,1737
Meade County,Mertilla township,209,236,211,221,198,196
Meade County,Odee township,99,79,44,50,37,51
Meade County,Sand Creek township,104,76,44,38,38,26
Meade County,West Plains township,1080,1228,1108,1320,1320,1177
Miami County,Louisburg city,,1744,1964,2576,4315,4969
Miami County,Marysville township,1223,1593,1862,2575,2366,2452
Miami County,Miami township,407,415,427,506,537,545
Miami County,Middle Creek township,769,1002,1224,1649,1808,1814
Miami County,Mound township,406,508,563,705,729,700
Miami County,Osage township,544,592,576,649,667,659
Miami County,Osawatomie city,4294,4459,4590,4645,4447,4255
Miami County,Osawatomie township,1246,697,734,794,728,694
Miami County,Paola city,4622,4557,4698,5011,5602,5768
Miami County,Paola township,514,738,910,1100,1091,1067
Miami County,Richland township,777,1036,1142,1758,2051,2025
Miami County,Spring Hill city,,42,107,436,2337,3020
Miami County,Stanton township,591,766,747,925,843,856
Miami County,Sugar Creek township,323,322,370,449,474,495
Miami County,Ten Mile township,649,798,989,1259,1441,1543
Miami County,Valley township,804,1262,1401,1478,1401,1306
Miami County,Wea township,2085,1087,1162,1836,1950,2023
Mitchell County,Asherville township,150,152,139,122,97,119
Mitchell County,Beloit city,4121,4367,4066,4019,3835,3404
Mitchell County,Beloit township,368,443,269,222,205,176
Mitchell County,Bloomfield township,112,117,95,83,76,81
Mitchell County,Blue Hill township,73,44,45,36,27,33
Mitchell County,Carr Creek township,40,33,36,31,17,23
Mitchell County,Cawker township,817,706,637,578,522,516
Mitchell County,Center township,79,62,42,49,39,36
Mitchell County,Custer township,232,208,181,132,110,104
Mitchell County,Eureka township,57,45,42,41,22,26
Mitchell County,Glen Elder township,540,599,548,553,514,432
Mitchell County,Hayes township,58,38,29,21,16,30
Mitchell County,Logan township,211,179,159,168,125,121
Mitchell County,Lulu township,126,121,86,90,87,80
Mitchell County,Pittsburg township,472,476,373,346,298,258
Mitchell County,Plum Creek township,127,142,109,119,105,108
Mitchell County,Round Springs township,31,47,43,27,24,24
Mitchell County,Salt Creek township,69,54,35,39,33,16
Mitchell County,Solomon Rapids township,95,84,86,80,65,60
Mitchell County,Turkey Creek township,160,139,135,134,122,118
Mitchell County,Walnut Creek township,72,61,48,42,34,31
Montgomery County,Caney city,2192,2284,2062,2092,2203,1788
Montgomery County,Caney township,1207,1289,1205,1244,1366,1134
Montgomery County,Cherokee township,581,580,620,541,489,415
Montgomery County,Cherry township,511,503,550,517,504,462
Montgomery County,Cherryvale city,2609,2769,2464,2386,2367,2192
Montgomery County,Coffeyville city,15116,15185,12917,11021,10295,8826
Montgomery County,Drum Creek township,425,522,488,537,510,494
Montgomery County,Fawn Creek township,1655,2088,2124,2036,2025,1857
Montgomery County,Independence city,10347,10598,9942,9846,9483,8548
Montgomery County,Independence township,1688,2426,2532,2342,2430,2241
Montgomery County,Liberty township,518,568,504,473,496,511
Montgomery County,Louisburg township,737,791,669,629,616,552
Montgomery County,Parker township,1136,1194,1333,1212,1190,1077
Montgomery County,Rutland township,293,282,357,302,282,299
Montgomery County,Sycamore township,733,994,835,835,908,805
Montgomery County,West Cherry township,201,208,214,239,307,285
Morris County,Burdick Township,253,,,,,
Morris County,Clarks Creek Township,161,,,,,
Morris County,Council Grove city,2403,2381,2228,2321,2182,2140
Morris County,Council Grove Township,316,,,,,
Morris County,Diamond Valley Township,61,,,,,
Morris County,Elm Creek Township,473,,,,,
Morris County,Four Mile Township,78,,,,,
Morris County,Garfield Township,154,,,,,
Morris County,Grandview Township,345,,,,,
Morris County,Herington city,,,0,0,0,0
Morris County,Highland township,143,133,114,94,98,74
Morris County,Neosho Township,119,,,,,
Morris County,Ohio Township,529,,,,,
Morris County,Overland township,98,111,69,60,71,85
Morris County,Parker Township,216,,,,,
Morris County,Rolling Prairie Township,640,,,,,
Morris County,Township 1,,589,581,551,509,476
Morris County,Township 2,,627,781,688,720,627
Morris County,Township 3,,510,569,503,446,382
Morris County,Township 4,,234,232,252,236,204
Morris County,Township 5,,707,684,686,784,581
Morris County,Township 6,,141,116,111,102,114
Morris County,Township 7,,327,260,258,262,223
Morris County,Township 8,,300,230,212,206,180
Morris County,Township 9,,359,334,368,307,300
Morris County,Valley Township,252,,,,,
Morris County,Warren Township,191,,,,,
Morton County,Cimarron township,81,73,74,67,60,54
Morton County,Jones township,24,16,11,17,14,11
Morton County,Richfield township,332,316,269,218,182,139
Morton County,Rolla township,561,561,575,650,590,480
Morton County,Taloga township,2442,2378,2443,2437,2327,1978
Morton County,Westola township,136,110,108,107,60,39
Nemaha County,Adams township,287,242,205,213,194,171
Nemaha County,Berwick township,358,346,383,391,408,414
Nemaha County,Capioma township,249,202,160,161,147,154
Nemaha County,Center township,289,274,211,200,164,178
Nemaha County,Clear Creek township,217,170,144,123,115,127
Nemaha County,Gilman township,334,318,247,223,238,191
Nemaha County,Granada township,167,127,106,122,105,84
Nemaha County,Harrison township,503,424,379,399,307,306
Nemaha County,Home township,710,603,571,567,543,511
Nemaha County,Illinois township,478,465,424,453,450,532
Nemaha County,Marion township,506,475,469,457,392,420
Nemaha County,Mitchell township,317,345,368,305,261,308
Nemaha County,Nemaha township,223,196,193,184,155,108
Nemaha County,Neuchatel township,143,165,129,117,105,90
Nemaha County,Red Vermillion township,207,174,135,137,110,123
Nemaha County,Reilly township,224,202,158,153,106,107
Nemaha County,Richmond township,652,460,543,538,519,512
Nemaha County,Rock Creek township,311,271,362,302,416,429
Nemaha County,Sabetha city,2376,2282,2335,2582,2564,2534
Nemaha County,Seneca city,2182,2389,2027,2122,1991,2139
Nemaha County,Washington township,498,539,457,465,380,380
Nemaha County,Wetmore township,594,542,440,503,508,455
Neosho County,Big Creek township,482,558,455,456,479,496
Neosho County,Canville township,533,527,491,571,550,551
Neosho County,Centerville township,493,526,561,564,476,483
Neosho County,Chanute city,10341,10506,9488,9411,9119,8722
Neosho County,Chetopa township,804,934,805,894,861,845
Neosho County,Erie township,1767,1821,1615,1524,1431,1232
Neosho County,Grant township,489,471,372,384,350,352
Neosho County,Ladore township,399,395,384,401,371,367
Neosho County,Lincoln township,370,381,393,345,310,254
Neosho County,Mission township,1090,989,936,927,934,901
Neosho County,Shiloh township,312,286,299,297,447,537
Neosho County,Tioga township,1279,1194,873,885,885,837
Neosho County,Walnut Grove township,453,379,363,338,299,327
Ness County,Bazine township,636,611,546,441,454,394
Ness County,Center township,1812,1830,1775,1567,1468,1340
Ness County,Eden township,139,124,91,70,71,77
Ness County,Forrester township,124,108,129,109,103,93
Ness County,Franklin township,241,203,159,132,112,100
Ness County,Highpoint township,176,145,120,93,64,52
Ness County,Johnson township,155,96,73,76,68,54
Ness County,Nevada township,657,656,581,479,415,343
Ness County,Ohio township,554,474,403,345,252,165
Ness County,Waring township,297,251,156,142,100,69
Norton County,Aldine Township,86,,,,,
Norton County,Almelo Township,182,,,,,
Norton County,Almena Township,696,,,,,
Norton County,Almena-District 4 township,,762,574,614,566,508
Norton County,Belle Plain Township,65,,,,,
Norton County,Center Township,378,,,,,
Norton County,Center-District 1 township,,1196,1323,1382,1393,1521
Norton County,Clayton Township,63,,,,,
Norton County,Crystal Township,69,,,,,
Norton County,Emmett Township,401,,,,,
Norton County,Garfield Township,84,,,,,
Norton County,Grant Township,103,,,,,
Norton County,Harrison Township,44,,,,,
Norton County,Harrison-District 6 township,,33,20,12,,
Norton County,Highland Township,31,,,,,
Norton County,Highland-District 2 township,,1016,822,737,604,546
Norton County,Lenora Township,530,,,,,
Norton County,Leota Township,75,,,,,
Norton County,Lincoln Township,54,,,,,
Norton County,Modell Township,72,,,,,
Norton County,Noble Township,173,,,,,
Norton County,Norton city,3627,3400,3017,3012,2928,2747
Norton County,Orange Township,65,,,,,
Norton County,Rock Branch Township,55,,,,,
Norton County,Rockwell Township,59,,,,,
Norton County,Sand Creek Township,74,,,,,
Norton County,Solomon Township,170,,,,,
Norton County,Solomon-District 3 township,,282,191,196,180,137
Norton County,West Union Township,123,,,,,
Osage County,Agency township,590,565,500,618,558,425
Osage County,Arvonia township,181,116,141,136,95,122
Osage County,Barclay township,214,203,181,239,195,148
Osage County,Burlingame township,1613,1935,1760,1768,1680,1704
Osage County,Dragoon township,273,277,234,214,202,199
Osage County,Elk township,1157,1637,1630,1723,1886,1843
Osage County,Fairfax township,252,302,435,513,589,610
Osage County,Grant township,297,342,311,297,266,286
Osage County,Junction township,459,736,849,1210,1197,1207
Osage County,Lincoln township,145,138,121,134,139,145
Osage County,Melvern township,797,842,735,812,762,729
Osage County,Olivet township,240,238,253,263,232,241
Osage County,Osage City city,2600,2667,2689,3034,2943,2861
Osage County,Ridgeway township,1776,2353,2502,2661,2505,2376
Osage County,Scranton township,952,1076,1158,1273,1213,1133
Osage County,Superior township,334,356,305,293,305,245
Osage County,Valley Brook township,1472,1536,1444,1524,1528,1492
Osborne County,Bethany township,288,295,221,199,176,162
Osborne County,Bloom township,195,148,91,81,73,80
Osborne County,Corinth township,91,66,55,51,52,40
Osborne County,Covert township,35,29,25,19,8,15
Osborne County,Delhi township,84,59,43,37,31,30
