County,CTY_SUB,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
Butler County,Logan township,119,96,144,154,122,120
Butler County,Milton township,884,1093,1100,1136,1153,1040
Butler County,Murdock township,234,276,376,378,402,459
Butler County,Pleasant township,1307,2938,4058,4649,5122,5342
Butler County,Plum Grove township,692,763,645,661,660,591
Butler County,Prospect township,867,986,1117,2033,2429,2262
Butler County,Richland township,833,963,1540,2399,2568,2562
Butler County,Rock Creek township,218,228,272,299,325,269
Butler County,Rosalia township,422,525,545,589,631,554
Butler County,Spring township,922,1055,1374,1566,1487,1432
Butler County,Sycamore township,342,330,351,333,343,315
Butler County,Towanda township,1669,2040,2160,2727,2668,2651
Butler County,Union township,220,205,210,226,184,133
Butler County,Walnut township,353,501,593,760,723,676
Chase County,Bazaar township,137,95,93,81,93,111
Chase County,Cedar township,158,167,113,116,93,59
Chase County,Cottonwood township,251,235,200,184,139,159
Chase County,Diamond Creek township,314,311,277,237,241,225
Chase County,Falls township,1213,1125,1081,1163,1126,1053
Chase County,Homestead township,117,108,65,52,45,40
Chase County,Matfield township,226,175,143,155,119,126
Chase County,Strong township,680,797,774,740,634,507
Chase County,Toledo township,312,296,275,302,300,292
Chautauqua County,Belleville township,718,810,689,675,569,458
Chautauqua County,Caneyville township,89,88,80,88,76,89
Chautauqua County,Center township,132,105,104,75,63,81
Chautauqua County,Harrison township,152,158,124,114,71,70
Chautauqua County,Hendricks township,193,241,179,179,143,108
Chautauqua County,Jefferson township,816,955,875,834,686,568
Chautauqua County,Lafayette township,65,86,72,65,29,27
Chautauqua County,Little Caney township,250,298,265,353,329,330
Chautauqua County,Salt Creek township,132,139,109,123,105,118
Chautauqua County,Sedan township,1859,1878,1676,1660,1435,1367
Chautauqua County,Summit township,122,126,107,106,78,92
Chautauqua County,Washington township,114,132,127,87,85,71
Cherokee County,Baxter Springs city,4489,4773,4351,4602,4238,3888
Cherokee County,Cherokee township,357,374,342,336,331,320
Cherokee County,Columbus city,3356,3426,3268,3396,3312,2929
Cherokee County,Crawford township,498,559,550,646,636,579
Cherokee County,Galena city,3712,3587,3308,3287,3085,2761
Cherokee County,Garden township,1973,2470,2703,3039,3045,2731
Cherokee County,Lola township,422,390,357,382,344,288
Cherokee County,Lowell township,379,547,564,672,675,663
Cherokee County,Lyon township,622,669,527,528,562,328
Cherokee County,Mineral township,318,291,239,254,216,203
Cherokee County,Neosho township,340,349,281,306,279,225
Cherokee County,Oswego city,,,,,,0
Cherokee County,Pleasant View township,546,576,508,658,627,585
Cherokee County,Ross township,997,921,847,893,782,650
Cherokee County,Salamanca township,597,559,575,569,505,493
Cherokee County,Scammon city,457,501,466,496,482,376
Cherokee County,Shawnee township,456,480,478,505,461,545
Cherokee County,Sheridan township,334,302,246,249,231,201
Cherokee County,Spring Valley township,956,825,1034,1007,1106,1028
Cherokee County,Weir city,740,705,730,780,686,569
Cheyenne County,Alexander Township,121,,,,,
Cheyenne County,Beaver Township,105,,,,,
Cheyenne County,Benkelman township,72,77,55,57,28,42
Cheyenne County,Bird City township,747,947,794,771,687,655
Cheyenne County,Calhoun township,120,88,61,57,36,41
Cheyenne County,Cherry Creek township,130,114,117,,,
Cheyenne County,Cleveland Run township,103,82,80,67,54,68
Cheyenne County,Dent Township,124,,,,,
Cheyenne County,Eureka Township,114,,,,,
Cheyenne County,Evergreen Township,40,,,,,
Cheyenne County,Jaqua township,88,75,60,46,33,35
Cheyenne County,Jefferson Township,62,,,,,
Cheyenne County,Lawn Ridge Township,118,,,,,
Cheyenne County,Nutty Combe Township,63,,,,,
