County,"Crime Index Rate/1,000 (County Total)"
Allen County,28.7
Anderson County,20.4
Atchison County,22.0
Barber County,8.2
Barton County,45.3
Bourbon County,36.4
Brown County,12.7
Butler County,26.6
Chase County,0.7
Chautauqua County,4.6
Cherokee County,23.1
Cheyenne County,11.6
Clark County,13.5
Clay County,17.6
Cloud County,25.3
Coffey County,10.1
Commanche County,
Cowley County,36.9
Crawford County,46.6
Decatur County,10.6
Dickinson County,28.0
D i h C t 02200Doniphan County,23.1
Douglas County,42.6
Edwards County,9.8
Elk County,10.0
Ellis County,32.1
Ellsworth County,19.7
Finney County,34.3
Ford County,34.8
Franklin County,27.0
Geary County,24.3
Gove County,10.2
Graham County,28.2
Grant County,17.1
Gray County,5.9
Greeley County,10.7
Greenwood County,13.4
Hamilton County,
Harper County,18.5
Harvey County,22.0
Haskell County,
Hodgeman County,18.4
Jackson County,19.2
Jefferson County,29.0
Jewell County,0.0
Johnson County,22.7
Kearny County,
Kingman County,14.9
Ki C t 04900Kiowa County,26.1
Labette County,46.9
Lane County 05100Lane  County,13.4
Leavenworth County,30.4
Lincoln County,15.1
Linn County,15.4
Logan County,13.2
Lyon County,40.5
Mc Pherson County,19.2
Marion County,13.0
Marshall County,13.6
Meade County,7.0
Miami County,19.0
Mitchell County,13.1
Morris County,16.1
Morton County,20.4
Nemaha County,14.7
Neosho County,27.5
Ness County,7.1
Norton County,10.2
Osage County,12.8
Osborne County,8.1
Ottawa County,22.2
Pawnee County,22.7
Phillips County,6.7
Pottawatomie County,17.8
Pratt  County,29.1
Rawlins County 07700Rawlins  County,11.7
Reno County,58.0
Republic County,12.0
Rice County,11.4
Riley County,24.7
Rooks County,5.4
Rush County,11.2
Rush County,25.3
Saline County,49.2
Scott County,18.1
Sedgwick County,48.8
Seward County,32.4
Shawnee County,49.6
Sheridan County,7.0
Sherman County,8.6
Smith County,7.5
Stafford County,15.7
Stanton County,8.1
Stevens County,4.3
Sumner County,25.2
Thomas County,25.5
Trego County,6.9
Wabaunsee County,16.1
Wallace County,0.7
Washington County,3.2
Wichita County,20.1
Wilson County,14.9
Woodson County,29.2
Wyandotte County,67.6
