,,,,County,,,CTY_SUB,CTY_SUBA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,D15AA1970,D15AA1980,D15AA1990,D15AA2000,D15AA2010,D15AA2020,D15AB1970,D15AB1980,D15AB1990,D15AB2000,D15AB2010,D15AB2020
,Kansas,20,200,Ellsworth County,53,530,Empire township,21150,Empire Township,EMPIRE TOWNSHIP,Empire township,Empire township,Empire township,Empire township,95,78,78,174,196,142,0,0,0,0,0,0,95,78,78,174,196,142
,Kansas,20,200,Ellsworth County,53,530,Garfield township,25575,Garfield Township,GARFIELD TOWNSHIP,Garfield township,Garfield township,Garfield township,Garfield township,25,44,44,27,40,62,0,0,0,0,0,0,25,44,44,27,40,62
,Kansas,20,200,Ellsworth County,53,530,Green Garden township,28600,Green Garden Township,GREEN GARDEN TOWNSHIP,Green Garden township,Green Garden township,Green Garden township,Green Garden township,254,250,235,211,213,205,0,0,0,0,0,0,254,250,235,211,213,205
,Kansas,20,200,Ellsworth County,53,530,Langley township,38600,Langley Township,LANGLEY TOWNSHIP,Langley township,Langley township,Langley township,Langley township,85,81,80,76,74,60,0,0,0,0,0,0,85,81,80,76,74,60
,Kansas,20,200,Ellsworth County,53,530,Lincoln township,40675,Lincoln Township,LINCOLN TOWNSHIP,Lincoln township,Lincoln township,Lincoln township,Lincoln township,49,38,43,62,44,59,0,0,0,0,0,0,49,38,43,62,44,59
,Kansas,20,200,Ellsworth County,53,530,Mulberry township,49050,Mulberry Township,MULBERRY TOWNSHIP,Mulberry township,Mulberry township,Mulberry township,Mulberry township,21,36,35,44,27,39,0,0,0,0,0,0,21,36,35,44,27,39
,Kansas,20,200,Ellsworth County,53,530,Noble township,50825,Noble Township,NOBLE TOWNSHIP,Noble township,Noble township,Noble township,Noble township,150,103,93,90,87,104,0,0,0,0,0,0,150,103,93,90,87,104
,Kansas,20,200,Ellsworth County,53,530,Palacky township,54100,Palacky Township,PALACKY TOWNSHIP,Palacky township,Palacky township,Palacky township,Palacky township,73,66,67,63,60,57,0,0,0,0,0,0,73,66,67,63,60,57
,Kansas,20,200,Ellsworth County,53,530,Sherman township,64950,Sherman Township,SHERMAN TOWNSHIP,Sherman township,Sherman township,Sherman township,Sherman township,73,103,94,65,60,80,0,0,0,0,0,0,73,103,94,65,60,80
,Kansas,20,200,Ellsworth County,53,530,Thomas township,70450,Thomas Township,THOMAS TOWNSHIP,Thomas township,Thomas township,Thomas township,Thomas township,86,78,67,72,53,64,0,0,0,0,0,0,86,78,67,72,53,64
,Kansas,20,200,Ellsworth County,53,530,Trivoli township,71525,Trivoli Township,TRIVOLI TOWNSHIP,Trivoli township,Trivoli township,Trivoli township,Trivoli township,57,80,53,55,54,39,0,0,0,0,0,0,57,80,53,55,54,39
,Kansas,20,200,Ellsworth County,53,530,Valley township,72800,Valley Township,VALLEY TOWNSHIP,Valley township,Valley township,Valley township,Valley township,739,700,611,577,538,481,0,0,0,0,0,0,739,700,611,577,538,481
,Kansas,20,200,Ellsworth County,53,530,Wilson township,79700,Wilson Township,WILSON TOWNSHIP,Wilson township,Wilson township,Wilson township,Wilson township,1040,1097,971,894,876,932,0,0,0,0,0,0,1040,1097,971,894,876,932
,Kansas,20,200,Finney County,55,550,Garden City city,25325,Garden City City,GARDEN CITY CITY,Garden City city,Garden City city,Garden City city,Garden City city,14708,18256,24097,28451,26658,28151,14708,18256,24097,28237,26611,28130,0,0,0,214,47,21
,Kansas,20,200,Finney County,55,550,Garden City township,25350,Garden City Township,GARDEN CITY TOWNSHIP,Garden City township,Garden City township,Garden City township,Garden City township,1940,2724,5368,7400,5761,5773,0,0,0,4868,3331,2846,1940,2724,5368,2532,2430,2927
,Kansas,20,200,Finney County,55,550,Garfield township,25600,Garfield Township,GARFIELD TOWNSHIP,Garfield township,Garfield township,Garfield township,Garfield township,479,342,326,331,288,345,0,0,0,0,0,0,479,342,326,331,288,345
,Kansas,20,200,Finney County,55,550,Ivanhoe township,34675,Ivanhoe Township,IVANHOE TOWNSHIP,Ivanhoe township,Ivanhoe township,Ivanhoe township,Ivanhoe township,220,298,370,666,464,489,0,0,0,0,0,0,220,298,370,666,464,489
,Kansas,20,200,Finney County,55,550,Pierceville township,55800,Pierceville Township,PIERCEVILLE TOWNSHIP,Pierceville township,Pierceville township,Pierceville township,Pierceville township,334,422,495,551,491,459,0,0,0,37,0,0,334,422,495,514,491,459
,Kansas,20,200,Finney County,55,550,Pleasant Valley township,56550,Pleasant Valley Township,PLEASANT VALLEY TOWNSHIP,Pleasant Valley township,Pleasant Valley township,Pleasant Valley township,Pleasant Valley township,112,118,124,139,166,144,0,0,0,0,0,0,112,118,124,139,166,144
,Kansas,20,200,Finney County,55,550,Sherlock township,64800,Sherlock Township,SHERLOCK TOWNSHIP,Sherlock township,Sherlock township,Sherlock township,Sherlock township,870,1436,2060,2758,2789,2958,0,0,0,0,0,0,870,1436,2060,2758,2789,2958
,Kansas,20,200,Finney County,55,550,Terry township,70225,Terry Township,TERRY TOWNSHIP,Terry township,Terry township,Terry township,Terry township,284,229,230,227,159,151,0,0,0,0,0,0,284,229,230,227,159,151
,Kansas,20,200,Ford County,57,570,Bloom township,7375,Bloom Township,BLOOM TOWNSHIP,Bloom township,Bloom township,Bloom township,Bloom township,149,132,134,113,116,110,0,0,0,0,0,0,149,132,134,113,116,110
,Kansas,20,200,Ford County,57,570,Bucklin township,9025,Bucklin Township,BUCKLIN TOWNSHIP,Bucklin township,Bucklin township,Bucklin township,Bucklin township,837,943,848,900,885,821,0,0,0,0,0,0,837,943,848,900,885,821
,Kansas,20,200,Ford County,57,570,Concord township,15150,Concord Township,CONCORD TOWNSHIP,Concord township,Concord township,Concord township,Concord township,124,99,115,117,104,122,0,0,0,0,0,0,124,99,115,117,104,122
,Kansas,20,200,Ford County,57,570,Dodge City city,18250,Dodge City City,DODGE CITY CITY,Dodge City city,Dodge City city,Dodge City city,Dodge City city,14127,18001,21129,25176,27340,27788,14127,18001,21129,25126,26806,27316,0,0,0,50,534,472
,Kansas,20,200,Ford County,57,570,Dodge township,18225,Dodge Township,DODGE TOWNSHIP,Dodge township,Dodge township,Dodge township,Dodge township,2348,884,674,899,693,683,0,0,0,332,48,23,2348,884,674,567,645,660
,Kansas,20,200,Ford County,57,570,Enterprise township,21450,Enterprise Township,ENTERPRISE TOWNSHIP,Enterprise township,Enterprise township,Enterprise township,Enterprise township,545,633,736,1113,882,998,0,0,0,183,57,0,545,633,736,930,825,998
,Kansas,20,200,Ford County,57,570,Fairview township,22500,Fairview Township,FAIRVIEW TOWNSHIP,Fairview township,Fairview township,Fairview township,Fairview township,189,320,309,346,290,277,0,0,0,0,0,0,189,320,309,346,290,277
,Kansas,20,200,Ford County,57,570,Ford township,23750,Ford Township,FORD TOWNSHIP,Ford township,Ford township,Ford township,Ford township,393,424,403,456,364,329,0,0,0,0,0,0,393,424,403,456,364,329
,Kansas,20,200,Ford County,57,570,Grandview township,27350,Grandview Township,GRANDVIEW TOWNSHIP,Grandview township,Grandview township,Grandview township,Grandview township,862,783,759,784,624,569,0,0,0,0,0,7,862,783,759,784,624,562
,Kansas,20,200,Ford County,57,570,Pleasant Valley Township,50,Pleasant Valley Township,,,,,,83,,,,,,0,,,,,,83,,,,,
,Kansas,20,200,Ford County,57,570,Richland township,59300,Richland Township,RICHLAND TOWNSHIP,Richland township,Richland township,Richland township,Richland township,863,319,673,931,888,893,0,0,0,523,405,356,863,319,673,408,483,537
,Kansas,20,200,Ford County,57,570,Royal township,61575,Royal Township,ROYAL TOWNSHIP,Royal township,Royal township,Royal township,Royal township,97,107,106,105,207,228,0,0,0,0,0,0,97,107,106,105,207,228
,Kansas,20,200,Ford County,57,570,Sodville township,66150,Sodville Township,SODVILLE TOWNSHIP,Sodville township,Sodville township,Sodville township,Sodville township,135,129,124,110,109,89,0,0,0,0,0,0,135,129,124,110,109,89
,Kansas,20,200,Ford County,57,570,Spearville township,67150,Spearville Township,SPEARVILLE TOWNSHIP,Spearville township,Spearville township,Spearville township,Spearville township,1340,1172,1151,1150,1104,1163,0,0,0,0,0,0,1340,1172,1151,1150,1104,1163
,Kansas,20,200,Ford County,57,570,Wheatland township,77675,Wheatland Township,WHEATLAND TOWNSHIP,Wheatland township,Wheatland township,Wheatland township,Wheatland township,342,235,210,170,151,139,0,0,0,0,0,0,342,235,210,170,151,139
,Kansas,20,200,Ford County,57,570,Wilburn township,79100,Wilburn Township,WILBURN TOWNSHIP,Wilburn township,Wilburn township,Wilburn township,Wilburn township,153,134,92,88,91,78,0,0,0,0,0,0,153,134,92,88,91,78
,Kansas,20,200,Franklin County,59,590,Appanoose township,2075,Appanoose Township,APPANOOSE TOWNSHIP,Appanoose township,Appanoose township,Appanoose township,Appanoose township,245,257,263,293,306,344,0,0,0,0,0,0,245,257,263,293,306,344
,Kansas,20,200,Franklin County,59,590,Centropolis township,12475,Centropolis Township,CENTROPOLIS TOWNSHIP,Centropolis township,Centropolis township,Centropolis township,Centropolis township,616,758,822,997,1011,1006,0,0,0,0,0,0,616,758,822,997,1011,1006
,Kansas,20,200,Franklin County,59,590,Cutler township,16900,Cutler Township,CUTLER TOWNSHIP,Cutler township,Cutler township,Cutler township,Cutler township,537,714,669,856,798,748,0,0,0,0,0,0,537,714,669,856,798,748
,Kansas,20,200,Franklin County,59,590,Franklin township,24375,Franklin Township,FRANKLIN TOWNSHIP,Franklin township,Franklin township,Franklin township,Franklin township,1663,2219,2178,2552,3065,3080,0,0,0,0,0,0,1663,2219,2178,2552,3065,3080
,Kansas,20,200,Franklin County,59,590,Greenwood township,28750,Greenwood Township,GREENWOOD TOWNSHIP,Greenwood township,Greenwood township,Greenwood township,Greenwood township,260,347,366,429,459,403,0,0,0,0,0,0,260,347,366,429,459,403
,Kansas,20,200,Franklin County,59,590,Harrison township,30300,Harrison Township,HARRISON TOWNSHIP,Harrison township,Harrison township,Harrison township,Harrison township,484,420,402,445,438,460,0,0,0,0,0,0,484,420,402,445,438,460
,Kansas,20,200,Franklin County,59,590,Hayes township,30925,Hayes Township,HAYES TOWNSHIP,Hayes township,Hayes township,Hayes township,Hayes township,258,314,362,397,393,431,0,0,0,0,0,0,258,314,362,397,393,431
,Kansas,20,200,Franklin County,59,590,Homewood township,33000,Homewood Township,HOMEWOOD TOWNSHIP,Homewood township,Homewood township,Homewood township,Homewood township,329,411,412,493,532,550,0,0,0,0,0,0,329,411,412,493,532,550
,Kansas,20,200,Franklin County,59,590,Lincoln township,40700,Lincoln Township,LINCOLN TOWNSHIP,Lincoln township,Lincoln township,Lincoln township,Lincoln township,469,475,902,797,857,833,0,0,0,1,2,0,469,475,902,796,855,833
,Kansas,20,200,Franklin County,59,590,Ohio township,52350,Ohio Township,OHIO TOWNSHIP,Ohio township,Ohio township,Ohio township,Ohio township,499,621,650,783,770,768,0,0,0,0,0,0,499,621,650,783,770,768
,Kansas,20,200,Franklin County,59,590,Ottawa city,53550,Ottawa City,OTTAWA CITY,Ottawa city,Ottawa city,Ottawa city,Ottawa city,11036,11016,10667,11921,12649,12625,11036,11016,10667,11734,12446,12461,0,0,0,187,203,164
,Kansas,20,200,Franklin County,59,590,Ottawa township,53575,Ottawa Township,OTTAWA TOWNSHIP,Ottawa township,Ottawa township,Ottawa township,Ottawa township,665,923,792,868,813,842,0,0,0,0,2,0,665,923,792,868,811,842
,Kansas,20,200,Franklin County,59,590,Peoria township,55425,Peoria Township,PEORIA TOWNSHIP,Peoria township,Peoria township,Peoria township,Peoria township,374,514,526,626,672,646,0,0,0,0,0,0,374,514,526,626,672,646
,Kansas,20,200,Franklin County,59,590,Pomona township,57025,Pomona Township,POMONA TOWNSHIP,Pomona township,Pomona township,Pomona township,Pomona township,718,1080,1051,1174,1078,1128,0,0,0,0,0,0,718,1080,1051,1174,1078,1128
,Kansas,20,200,Franklin County,59,590,Pottawatomie township,57225,Pottawatomie Township,POTTAWATOMIE TOWNSHIP,Pottawatomie township,Pottawatomie township,Pottawatomie township,Pottawatomie township,534,561,582,669,605,607,0,0,0,0,0,0,534,561,582,669,605,607
,Kansas,20,200,Franklin County,59,590,Richmond township,59700,Richmond Township,RICHMOND TOWNSHIP,Richmond township,Richmond township,Richmond township,Richmond township,722,780,833,812,842,829,0,0,0,0,0,0,722,780,833,812,842,829
,Kansas,20,200,Franklin County,59,590,Williamsburg township,79325,Williamsburg Township,WILLIAMSBURG TOWNSHIP,Williamsburg township,Williamsburg township,Williamsburg township,Williamsburg township,598,652,517,672,704,696,0,0,0,0,0,0,598,652,517,672,704,696
,Kansas,20,200,Geary County,61,610,Blakely township,7275,Blakely Township,BLAKELY TOWNSHIP,Blakely township,Blakely township,Blakely township,Blakely township,100,94,107,113,101,113,0,0,0,0,0,0,100,94,107,113,101,113
,Kansas,20,200,Geary County,61,610,Jackson township,34775,Jackson Township,JACKSON TOWNSHIP,Jackson township,Jackson township,Jackson township,Jackson township,84,100,84,78,59,96,0,0,0,0,0,0,84,100,84,78,59,96
,Kansas,20,200,Geary County,61,610,Jefferson township,35200,Jefferson Township,JEFFERSON TOWNSHIP,Jefferson township,Jefferson township,Jefferson township,Jefferson township,1113,1740,1749,1651,2041,2159,0,0,0,1160,1614,1739,1113,1740,1749,491,427,420
,Kansas,20,200,Geary County,61,610,Junction City city,35750,Junction City City,JUNCTION CITY CITY,Junction City city,Junction City city,Junction City city,Junction City city,19018,19305,20604,18886,23353,22932,19018,19305,20604,18842,23073,22861,0,0,0,44,280,71
,Kansas,20,200,Geary County,61,610,Liberty township,40050,Liberty Township,LIBERTY TOWNSHIP,Liberty township,Liberty township,Liberty township,Liberty township,252,286,246,225,167,185,0,0,0,0,0,0,252,286,246,225,167,185
,Kansas,20,200,Geary County,61,610,Lyon township,43500,Lyon Township,LYON TOWNSHIP,Lyon township,Lyon township,Lyon township,Lyon township,193,272,301,298,305,250,0,0,0,0,0,0,193,272,301,298,305,250
,Kansas,20,200,Geary County,61,610,Milford township,46550,Milford Township,MILFORD TOWNSHIP,Milford township,Milford township,Milford township,Milford township,1346,1285,1445,1583,1669,1698,956,0,0,0,0,0,390,1285,1445,1583,1669,1698
,Kansas,20,200,Geary County,61,610,Smoky Hill township,66000,Smoky Hill Township,SMOKY HILL TOWNSHIP,Smoky Hill township,Smoky Hill township,Smoky Hill township,Smoky Hill township,5861,6625,5758,4974,6531,9143,3551,1656,683,3997,5664,7869,2310,4969,5075,977,867,1274
,Kansas,20,200,Geary County,61,610,Wingfield township,80025,Wingfield Township,WINGFIELD TOWNSHIP,Wingfield township,Wingfield township,Wingfield township,Wingfield township,144,145,159,139,136,163,0,0,0,0,0,0,144,145,159,139,136,163
,Kansas,20,200,Gove County,63,630,Baker township,3775,Baker Township,BAKER TOWNSHIP,Baker township,Baker township,Baker township,Baker township,1360,1400,1344,1357,1291,1276,0,0,0,0,0,0,1360,1400,1344,1357,1291,1276
,Kansas,20,200,Gove County,63,630,Gaeland township,25000,Gaeland Township,GAELAND TOWNSHIP,Gaeland township,Gaeland township,Gaeland township,Gaeland township,89,80,55,46,52,52,0,0,0,0,0,0,89,80,55,46,52,52
,Kansas,20,200,Gove County,63,630,Gove township,27075,Gove Township,GOVE TOWNSHIP,Gove township,Gove township,Gove township,Gove township,365,293,230,215,173,181,0,0,0,0,0,0,365,293,230,215,173,181
,Kansas,20,200,Gove County,63,630,Grainfield township,27225,Grainfield Township,GRAINFIELD TOWNSHIP,Grainfield township,Grainfield township,Grainfield township,Grainfield township,615,585,467,430,369,406,0,0,0,0,0,0,615,585,467,430,369,406
,Kansas,20,200,Gove County,63,630,Grinnell township,28925,Grinnell Township,GRINNELL TOWNSHIP,Grinnell township,Grinnell township,Grinnell township,Grinnell township,723,678,557,480,399,406,0,0,0,0,0,0,723,678,557,480,399,406
,Kansas,20,200,Gove County,63,630,Jerome township,35425,Jerome Township,JEROME TOWNSHIP,Jerome township,Jerome township,Jerome township,Jerome township,168,154,149,132,97,99,0,0,0,0,0,0,168,154,149,132,97,99
,Kansas,20,200,Gove County,63,630,Larrabee township,38750,Larrabee Township,LARRABEE TOWNSHIP,Larrabee township,Larrabee township,Larrabee township,Larrabee township,111,102,93,80,61,58,0,0,0,0,0,0,111,102,93,80,61,58
,Kansas,20,200,Gove County,63,630,Lewis township,39750,Lewis Township,LEWIS TOWNSHIP,Lewis township,Lewis township,Lewis township,Lewis township,26,26,20,13,7,12,0,0,0,0,0,0,26,26,20,13,7,12
,Kansas,20,200,Gove County,63,630,Payne township,55050,Payne Township,PAYNE TOWNSHIP,Payne township,Payne township,Payne township,Payne township,483,408,316,315,246,228,0,0,0,0,0,0,483,408,316,315,246,228
,Kansas,20,200,Graham County,65,650,Allodium township,1325,Allodium Township,ALLODIUM TOWNSHIP,Allodium township,Allodium township,Allodium township,Allodium township,101,102,64,46,51,36,0,0,0,0,0,0,101,102,64,46,51,36
,Kansas,20,200,Graham County,65,650,Bryant township,8850,Bryant Township,BRYANT TOWNSHIP,Bryant township,Bryant township,Bryant township,Bryant township,293,231,162,115,74,80,0,0,0,0,0,0,293,231,162,115,74,80
,Kansas,20,200,Graham County,65,650,Gettysburg township,26175,Gettysburg Township,GETTYSBURG TOWNSHIP,Gettysburg township,Gettysburg township,Gettysburg township,Gettysburg township,157,110,103,83,74,71,0,0,0,0,0,0,157,110,103,83,74,71
,Kansas,20,200,Graham County,65,650,Graham township,27175,Graham Township,GRAHAM TOWNSHIP,Graham township,Graham township,Graham township,Graham township,101,76,60,53,54,51,0,0,0,0,0,0,101,76,60,53,54,51
,Kansas,20,200,Graham County,65,650,Happy township,29950,Happy Township,HAPPY TOWNSHIP,Happy township,Happy township,Happy township,Happy township,157,108,86,72,54,59,0,0,0,0,0,0,157,108,86,72,54,59
,Kansas,20,200,Graham County,65,650,Hill City township,32200,Hill City Township,HILL CITY TOWNSHIP,Hill City township,Hill City township,Hill City township,Hill City township,2394,2205,2025,1747,1591,1518,0,0,0,0,0,0,2394,2205,2025,1747,1591,1518
,Kansas,20,200,Graham County,65,650,Indiana township,34000,Indiana Township,INDIANA TOWNSHIP,Indiana township,Indiana township,Indiana township,Indiana township,89,65,42,42,31,26,0,0,0,0,0,0,89,65,42,42,31,26
,Kansas,20,200,Graham County,65,650,Millbrook township,46625,Millbrook Township,MILLBROOK TOWNSHIP,Millbrook township,Millbrook township,Millbrook township,Millbrook township,291,215,179,150,108,90,0,0,0,0,0,0,291,215,179,150,108,90
,Kansas,20,200,Graham County,65,650,Morlan township,48250,Morlan Township,MORLAN TOWNSHIP,Morlan township,Morlan township,Morlan township,Morlan township,184,112,113,68,64,51,0,0,0,0,0,0,184,112,113,68,64,51
,Kansas,20,200,Graham County,65,650,Nicodemus township,50575,Nicodemus Township,NICODEMUS TOWNSHIP,Nicodemus township,Nicodemus township,Nicodemus township,Nicodemus township,100,81,66,52,59,43,0,0,0,0,0,0,100,81,66,52,59,43
,Kansas,20,200,Graham County,65,650,Pioneer township,55900,Pioneer Township,PIONEER TOWNSHIP,Pioneer township,Pioneer township,Pioneer township,Pioneer township,106,67,45,57,34,16,0,0,0,0,0,0,106,67,45,57,34,16
,Kansas,20,200,Graham County,65,650,Solomon township,66300,Solomon Township,SOLOMON TOWNSHIP,Solomon township,Solomon township,Solomon township,Solomon township,386,317,293,209,193,145,0,0,0,0,0,0,386,317,293,209,193,145
,Kansas,20,200,Graham County,65,650,Wildhorse township,79225,Wild Horse Township,WILD HORSE TOWNSHIP,Wildhorse township,Wildhorse township,Wildhorse township,Wildhorse township,392,306,305,252,210,229,0,0,0,0,0,0,392,306,305,252,210,229
,Kansas,20,200,Grant County,67,670,Lincoln township,40725,Lincoln Township,LINCOLN TOWNSHIP,Lincoln township,Lincoln township,Lincoln township,Lincoln township,4769,5832,6226,7058,7102,6644,3779,4653,5474,6259,6279,5865,990,1179,752,799,823,779
,Kansas,20,200,Grant County,67,670,Sherman township,64975,Sherman Township,SHERMAN TOWNSHIP,Sherman township,Sherman township,Sherman township,Sherman township,561,536,534,498,465,437,0,0,0,0,0,0,561,536,534,498,465,437
,Kansas,20,200,Grant County,67,670,Sullivan township,68875,Sullivan Township,SULLIVAN TOWNSHIP,Sullivan township,Sullivan township,Sullivan township,Sullivan township,631,609,399,353,262,271,0,0,0,0,0,0,631,609,399,353,262,271
,Kansas,20,200,Gray County,69,690,Cimarron township,13300,Cimarron Township,CIMARRON TOWNSHIP,Cimarron township,Cimarron township,Cimarron township,Cimarron township,1617,1937,2125,2379,2647,2418,0,0,0,0,0,0,1617,1937,2125,2379,2647,2418
,Kansas,20,200,Gray County,69,690,Copeland township,15500,Copeland Township,COPELAND TOWNSHIP,Copeland township,Copeland township,Copeland township,Copeland township,517,574,536,540,552,502,0,0,0,0,0,0,517,574,536,540,552,502
,Kansas,20,200,Gray County,69,690,East Hess township,19525,East Hess Township,EAST HESS TOWNSHIP,East Hess township,East Hess township,East Hess township,East Hess township,422,396,373,372,360,335,0,0,0,0,0,0,422,396,373,372,360,335
,Kansas,20,200,Gray County,69,690,Foote township,23675,Foote Township,FOOTE TOWNSHIP,Foote township,Foote township,Foote township,Foote township,160,152,124,126,99,131,0,0,0,0,0,0,160,152,124,126,99,131
,Kansas,20,200,Gray County,69,690,Ingalls township,34250,Ingalls Township,INGALLS TOWNSHIP,Ingalls township,Ingalls township,Ingalls township,Ingalls township,480,595,611,646,609,564,0,0,0,0,0,0,480,595,611,646,609,564
,Kansas,20,200,Gray County,69,690,Logan township,41900,Logan Township,LOGAN TOWNSHIP,Logan township,Logan township,Logan township,Logan township,205,197,196,216,207,163,0,0,0,0,0,0,205,197,196,216,207,163
,Kansas,20,200,Gray County,69,690,Montezuma township,47900,Montezuma Township,MONTEZUMA TOWNSHIP,Montezuma township,Montezuma township,Montezuma township,Montezuma township,922,1287,1431,1625,1532,1540,0,0,0,0,0,0,922,1287,1431,1625,1532,1540
,Kansas,20,200,Gray County,69,690,West Hess Township,40,West Hess Township,,,,,,193,,,,,,0,,,,,,193,,,,,
,Kansas,20,200,Greeley County,71,710,Colony township,14975,Colony Township,COLONY TOWNSHIP,Colony township,Colony township,,,220,235,203,172,,,0,0,0,0,,,220,235,203,172,,
,Kansas,20,200,Greeley County,71,710,Harrison township,30325,Harrison Township,HARRISON TOWNSHIP,Harrison township,Harrison township,,,144,185,134,107,,,0,0,0,0,,,144,185,134,107,,
,Kansas,20,200,Greeley County,71,710,Tribune township,71475,Tribune Township,TRIBUNE TOWNSHIP,Tribune township,Tribune township,Tribune township,Tribune township,1455,1425,1437,1255,1247,1284,0,0,0,0,0,0,1455,1425,1437,1255,1247,1284
,Kansas,20,200,Greenwood County,73,730,Bachelor township,3625,Bachelor Township,BACHELOR TOWNSHIP,Bachelor township,Bachelor township,Bachelor township,Bachelor township,236,195,236,230,193,164,0,0,0,0,0,0,236,195,236,230,193,164
,Kansas,20,200,Greenwood County,73,730,Eureka city,21800,Eureka City,EUREKA CITY,Eureka city,Eureka city,Eureka city,Eureka city,3576,3425,2974,2914,2633,2332,3576,3425,2974,2848,2586,0,0,0,0,66,47,2332
,Kansas,20,200,Greenwood County,73,730,Eureka township,21825,Eureka Township,EUREKA TOWNSHIP,Eureka township,Eureka township,Eureka township,Eureka township,322,369,481,451,395,355,0,0,0,18,5,0,322,369,481,433,390,355
,Kansas,20,200,Greenwood County,73,730,Fall River township,22800,Fall River Township,FALL RIVER TOWNSHIP,Fall River township,Fall River township,Fall River township,Fall River township,249,239,214,229,206,203,0,0,0,0,0,0,249,239,214,229,206,203
,Kansas,20,200,Greenwood County,73,730,Janesville township,35000,Janesville Township,JANESVILLE TOWNSHIP,Janesville township,Janesville township,Janesville township,Janesville township,693,665,600,548,469,333,0,0,0,0,0,0,693,665,600,548,469,333
,Kansas,20,200,Greenwood County,73,730,Lane township,38425,Lane Township,LANE TOWNSHIP,Lane township,Lane township,Lane township,Lane township,267,238,153,167,113,75,0,0,0,0,0,0,267,238,153,167,113,75
,Kansas,20,200,Greenwood County,73,730,Madison township,44075,Madison Township,MADISON TOWNSHIP,Madison township,Madison township,Madison township,Madison township,1447,1431,1222,1155,983,1007,0,0,0,0,0,0,1447,1431,1222,1155,983,1007
,Kansas,20,200,Greenwood County,73,730,Otter Creek township,53650,Otter Creek Township,OTTER CREEK TOWNSHIP,Otter Creek township,Otter Creek township,Otter Creek township,Otter Creek township,300,238,184,211,209,165,0,0,0,0,0,0,300,238,184,211,209,165
,Kansas,20,200,Greenwood County,73,730,Pleasant Grove township,56375,Pleasant Grove Township,PLEASANT GROVE TOWNSHIP,Pleasant Grove township,Pleasant Grove township,Pleasant Grove township,Pleasant Grove township,101,66,51,52,48,64,0,0,0,0,0,0,101,66,51,52,48,64
,Kansas,20,200,Greenwood County,73,730,Quincy township,58175,Quincy Township,QUINCY TOWNSHIP,Quincy township,Quincy township,Quincy township,Quincy township,222,195,177,163,145,164,0,0,0,0,0,0,222,195,177,163,145,164
,Kansas,20,200,Greenwood County,73,730,Salem township,62650,Salem Township,SALEM TOWNSHIP,Salem township,Salem township,Salem township,Salem township,48,48,29,35,33,25,0,0,0,0,0,0,48,48,29,35,33,25
,Kansas,20,200,Greenwood County,73,730,Salt Springs township,62875,Salt Springs Township,SALT SPRINGS TOWNSHIP,Salt Springs township,Salt Springs township,Salt Springs township,Salt Springs township,400,388,395,463,410,384,0,0,0,0,0,0,400,388,395,463,410,384
,Kansas,20,200,Greenwood County,73,730,Shell Rock township,64600,Shell Rock Township,SHELL ROCK TOWNSHIP,Shell Rock township,Shell Rock township,Shell Rock township,Shell Rock township,290,238,208,173,160,131,0,0,0,0,0,0,290,238,208,173,160,131
,Kansas,20,200,Greenwood County,73,730,South Salem township,66925,South Salem Township,SOUTH SALEM TOWNSHIP,South Salem township,South Salem township,South Salem township,South Salem township,166,137,129,127,95,96,0,0,0,0,0,0,166,137,129,127,95,96
,Kansas,20,200,Greenwood County,73,730,Spring Creek township,67425,Spring Creek Township,SPRING CREEK TOWNSHIP,Spring Creek township,Spring Creek township,Spring Creek township,Spring Creek township,151,122,137,154,109,110,0,0,0,0,0,0,151,122,137,154,109,110
,Kansas,20,200,Greenwood County,73,730,Twin Grove township,71825,Twin Grove Township,TWIN GROVE TOWNSHIP,Twin Grove township,Twin Grove township,Twin Grove township,Twin Grove township,673,770,657,601,488,408,0,0,0,0,0,0,673,770,657,601,488,408
,Kansas,20,200,Hamilton County,75,750,Bear Creek township,4850,Bear Creek Township,BEAR CREEK TOWNSHIP,Bear Creek township,Bear Creek township,Bear Creek township,Bear Creek township,119,81,60,69,117,66,0,0,0,0,0,0,119,81,60,69,117,66
,Kansas,20,200,Hamilton County,75,750,Coolidge township,15425,Coolidge Township,COOLIDGE TOWNSHIP,Coolidge township,Coolidge township,Coolidge township,Coolidge township,215,182,144,128,149,101,0,0,0,0,0,0,215,182,144,128,149,101
,Kansas,20,200,Hamilton County,75,750,Kendall township,36425,Kendall Township,KENDALL TOWNSHIP,Kendall township,Kendall township,Kendall township,Kendall township,138,103,86,101,85,70,0,0,0,0,0,0,138,103,86,101,85,70
,Kansas,20,200,Hamilton County,75,750,Lamont township,38275,Lamont Township,LAMONT TOWNSHIP,Lamont township,Lamont township,Lamont township,Lamont township,144,108,91,89,85,84,0,0,0,0,0,0,144,108,91,89,85,84
,Kansas,20,200,Hamilton County,75,750,Liberty township,40075,Liberty Township,LIBERTY TOWNSHIP,Liberty township,Liberty township,Liberty township,Liberty township,65,32,30,38,34,43,0,0,0,0,0,0,65,32,30,38,34,43
